Cod       Index     
====================
0         1         
0         2         
21        -         
0         3         
14        -         
15        -         
16        -         
21        -         
0         4         
18        -         
21        -         
0         5         
18        -         
22        -         
20        -         
0         4         
18        -         
22        -         
20        -         
0         5         
18        -         
3         -         
14        -         
0         4         
7         -         
0         6         
15        -         
16        -         
1         -         
14        -         
0         4         
13        -         
0         5         
15        -         
0         4         
7         -         
0         4         
5         -         
0         5         
18        -         
2         -         
0         5         
7         -         
0         5         
5         -         
0         4         
18        -         
17        -         
23        -         
19        -         
0         4         
19        -         
24        -         
18        -         
17        -         
