ID   |   Points
---- | ---------
187  | 83       
159  | 76       
203  | 74       
66   | 73       
165  | 73       
47   | 71       
205  | 71       
25   | 69       
272  | 68       
151  | 66       
134  | 65       
172  | 65       
49   | 64       
76   | 64       
261  | 64       
4    | 63       
11   | 63       
230  | 63       
259  | 63       
245  | 62       
7    | 61       
68   | 61       
215  | 61       
257  | 61       
59   | 60       
71   | 60       
146  | 60       
200  | 60       
221  | 60       
276  | 60       
284  | 60       
69   | 59       
197  | 59       
229  | 59       
1    | 58       
60   | 58       
65   | 58       
74   | 58       
112  | 58       
135  | 58       
162  | 58       
176  | 58       
181  | 58       
186  | 58       
195  | 58       
212  | 58       
232  | 58       
238  | 58       
262  | 58       
24   | 57       
45   | 57       
48   | 57       
113  | 57       
125  | 57       
143  | 57       
206  | 57       
13   | 56       
108  | 56       
121  | 56       
123  | 56       
129  | 56       
180  | 56       
3    | 55       
17   | 55       
50   | 55       
139  | 55       
153  | 55       
166  | 55       
170  | 55       
287  | 55       
294  | 55       
57   | 54       
58   | 54       
82   | 54       
102  | 54       
110  | 54       
140  | 54       
142  | 54       
184  | 54       
190  | 54       
267  | 54       
281  | 54       
292  | 54       
8    | 53       
127  | 53       
157  | 53       
177  | 53       
269  | 53       
6    | 52       
19   | 52       
56   | 52       
81   | 52       
103  | 52       
168  | 52       
171  | 52       
192  | 52       
193  | 52       
196  | 52       
214  | 52       
228  | 52       
248  | 52       
271  | 52       
28   | 51       
44   | 51       
63   | 51       
156  | 51       
174  | 51       
277  | 51       
278  | 51       
290  | 51       
32   | 50       
138  | 50       
154  | 50       
164  | 50       
178  | 50       
224  | 50       
231  | 50       
253  | 50       
256  | 50       
275  | 50       
12   | 49       
30   | 49       
41   | 49       
163  | 49       
207  | 49       
220  | 49       
241  | 49       
249  | 49       
280  | 49       
124  | 48       
132  | 48       
155  | 48       
169  | 48       
173  | 48       
201  | 48       
208  | 48       
234  | 48       
258  | 48       
46   | 47       
137  | 47       
218  | 47       
54   | 46       
210  | 46       
222  | 46       
289  | 46       
38   | 45       
53   | 45       
73   | 45       
128  | 45       
236  | 45       
246  | 45       
255  | 45       
9    | 44       
21   | 44       
33   | 44       
36   | 44       
179  | 44       
227  | 44       
264  | 44       
282  | 44       
295  | 44       
5    | 43       
42   | 43       
64   | 43       
126  | 43       
130  | 43       
149  | 43       
225  | 43       
233  | 43       
247  | 43       
39   | 42       
106  | 42       
117  | 42       
150  | 42       
250  | 42       
279  | 42       
286  | 42       
62   | 41       
79   | 41       
111  | 41       
148  | 41       
209  | 41       
244  | 41       
254  | 41       
260  | 41       
273  | 41       
116  | 40       
136  | 40       
141  | 40       
145  | 40       
152  | 40       
185  | 40       
27   | 39       
37   | 39       
118  | 39       
167  | 39       
188  | 39       
216  | 39       
55   | 38       
182  | 38       
199  | 38       
211  | 38       
265  | 38       
291  | 38       
20   | 37       
31   | 37       
67   | 37       
274  | 37       
240  | 36       
283  | 36       
158  | 35       
213  | 35       
268  | 35       
293  | 35       
119  | 34       
34   | 33       
43   | 33       
226  | 33       
285  | 33       
51   | 32       
160  | 31       
219  | 31       
252  | 31       
2    | 27       
70   | 26       
198  | 26       
131  | 24       
77   | 22       
