ID       | POINTS   | COUNTRY
---------|----------|--------
187      | 83       | Country2
159      | 76       | Country2
203      | 74       | Country3
66       | 73       | Country1
165      | 73       | Country2
47       | 71       | Country1
205      | 71       | Country3
306      | 71       | Country4
356      | 71       | Country4
469      | 71       | Country5
478      | 71       | Country5
445      | 70       | Country5
25       | 69       | Country1
312      | 69       | Country4
339      | 69       | Country4
272      | 68       | Country3
392      | 67       | Country4
429      | 67       | Country5
447      | 67       | Country5
151      | 66       | Country2
333      | 66       | Country4
470      | 66       | Country5
134      | 65       | Country2
172      | 65       | Country2
435      | 65       | Country5
463      | 65       | Country5
49       | 64       | Country1
76       | 64       | Country1
261      | 64       | Country3
432      | 64       | Country5
4        | 63       | Country1
11       | 63       | Country1
230      | 63       | Country3
259      | 63       | Country3
408      | 63       | Country5
480      | 63       | Country5
245      | 62       | Country3
304      | 62       | Country4
342      | 62       | Country4
361      | 62       | Country4
379      | 62       | Country4
407      | 62       | Country5
444      | 62       | Country5
473      | 62       | Country5
481      | 62       | Country5
7        | 61       | Country1
68       | 61       | Country1
215      | 61       | Country3
257      | 61       | Country3
442      | 61       | Country5
455      | 61       | Country5
59       | 60       | Country1
71       | 60       | Country1
146      | 60       | Country2
200      | 60       | Country2
221      | 60       | Country3
276      | 60       | Country3
284      | 60       | Country3
332      | 60       | Country4
357      | 60       | Country4
382      | 60       | Country4
393      | 60       | Country4
453      | 60       | Country5
69       | 59       | Country1
197      | 59       | Country2
229      | 59       | Country3
417      | 59       | Country5
430      | 59       | Country5
456      | 59       | Country5
475      | 59       | Country5
1        | 58       | Country1
60       | 58       | Country1
65       | 58       | Country1
74       | 58       | Country1
112      | 58       | Country2
135      | 58       | Country2
162      | 58       | Country2
176      | 58       | Country2
181      | 58       | Country2
186      | 58       | Country2
195      | 58       | Country2
212      | 58       | Country3
232      | 58       | Country3
238      | 58       | Country3
262      | 58       | Country3
308      | 58       | Country4
380      | 58       | Country4
451      | 58       | Country5
472      | 58       | Country5
24       | 57       | Country1
45       | 57       | Country1
48       | 57       | Country1
113      | 57       | Country2
125      | 57       | Country2
143      | 57       | Country2
206      | 57       | Country3
359      | 57       | Country4
371      | 57       | Country4
410      | 57       | Country5
411      | 57       | Country5
446      | 57       | Country5
476      | 57       | Country5
13       | 56       | Country1
108      | 56       | Country2
121      | 56       | Country2
123      | 56       | Country2
129      | 56       | Country2
180      | 56       | Country2
338      | 56       | Country4
364      | 56       | Country4
370      | 56       | Country4
3        | 55       | Country1
17       | 55       | Country1
50       | 55       | Country1
139      | 55       | Country2
153      | 55       | Country2
166      | 55       | Country2
170      | 55       | Country2
287      | 55       | Country3
294      | 55       | Country3
465      | 55       | Country5
466      | 55       | Country5
485      | 55       | Country5
57       | 54       | Country1
58       | 54       | Country1
82       | 54       | Country1
102      | 54       | Country2
110      | 54       | Country2
140      | 54       | Country2
142      | 54       | Country2
184      | 54       | Country2
190      | 54       | Country2
267      | 54       | Country3
281      | 54       | Country3
292      | 54       | Country3
381      | 54       | Country4
438      | 54       | Country5
460      | 54       | Country5
8        | 53       | Country1
127      | 53       | Country2
157      | 53       | Country2
177      | 53       | Country2
269      | 53       | Country3
320      | 53       | Country4
328      | 53       | Country4
416      | 53       | Country5
436      | 53       | Country5
450      | 53       | Country5
6        | 52       | Country1
19       | 52       | Country1
56       | 52       | Country1
81       | 52       | Country1
103      | 52       | Country2
168      | 52       | Country2
171      | 52       | Country2
192      | 52       | Country2
193      | 52       | Country2
196      | 52       | Country2
214      | 52       | Country3
228      | 52       | Country3
248      | 52       | Country3
271      | 52       | Country3
314      | 52       | Country4
343      | 52       | Country4
349      | 52       | Country4
354      | 52       | Country4
422      | 52       | Country5
474      | 52       | Country5
28       | 51       | Country1
44       | 51       | Country1
63       | 51       | Country1
156      | 51       | Country2
174      | 51       | Country2
277      | 51       | Country3
278      | 51       | Country3
290      | 51       | Country3
366      | 51       | Country4
387      | 51       | Country4
486      | 51       | Country5
32       | 50       | Country1
138      | 50       | Country2
154      | 50       | Country2
164      | 50       | Country2
178      | 50       | Country2
224      | 50       | Country3
231      | 50       | Country3
253      | 50       | Country3
256      | 50       | Country3
275      | 50       | Country3
315      | 50       | Country4
341      | 50       | Country4
346      | 50       | Country4
376      | 50       | Country4
423      | 50       | Country5
464      | 50       | Country5
484      | 50       | Country5
12       | 49       | Country1
30       | 49       | Country1
41       | 49       | Country1
163      | 49       | Country2
207      | 49       | Country3
220      | 49       | Country3
241      | 49       | Country3
249      | 49       | Country3
280      | 49       | Country3
316      | 49       | Country4
409      | 49       | Country5
440      | 49       | Country5
471      | 49       | Country5
124      | 48       | Country2
132      | 48       | Country2
155      | 48       | Country2
169      | 48       | Country2
173      | 48       | Country2
201      | 48       | Country2
208      | 48       | Country3
234      | 48       | Country3
258      | 48       | Country3
317      | 48       | Country4
318      | 48       | Country4
336      | 48       | Country4
347      | 48       | Country4
367      | 48       | Country4
389      | 48       | Country4
434      | 48       | Country5
468      | 48       | Country5
46       | 47       | Country1
137      | 47       | Country2
218      | 47       | Country3
322      | 47       | Country4
419      | 47       | Country5
449      | 47       | Country5
54       | 46       | Country1
210      | 46       | Country3
222      | 46       | Country3
289      | 46       | Country3
305      | 46       | Country4
350      | 46       | Country4
351      | 46       | Country4
394      | 46       | Country4
412      | 46       | Country5
425      | 46       | Country5
452      | 46       | Country5
38       | 45       | Country1
53       | 45       | Country1
73       | 45       | Country1
128      | 45       | Country2
236      | 45       | Country3
246      | 45       | Country3
255      | 45       | Country3
311      | 45       | Country4
327      | 45       | Country4
454      | 45       | Country5
457      | 45       | Country5
9        | 44       | Country1
21       | 44       | Country1
33       | 44       | Country1
36       | 44       | Country1
179      | 44       | Country2
227      | 44       | Country3
264      | 44       | Country3
282      | 44       | Country3
295      | 44       | Country3
309      | 44       | Country4
330      | 44       | Country4
348      | 44       | Country4
378      | 44       | Country4
384      | 44       | Country4
385      | 44       | Country4
386      | 44       | Country4
388      | 44       | Country4
414      | 44       | Country5
415      | 44       | Country5
5        | 43       | Country1
42       | 43       | Country1
64       | 43       | Country1
126      | 43       | Country2
130      | 43       | Country2
149      | 43       | Country2
225      | 43       | Country3
233      | 43       | Country3
247      | 43       | Country3
413      | 43       | Country5
39       | 42       | Country1
106      | 42       | Country2
117      | 42       | Country2
150      | 42       | Country2
250      | 42       | Country3
279      | 42       | Country3
286      | 42       | Country3
310      | 42       | Country4
344      | 42       | Country4
