+------------+----------------+-------+
| ID Tara    | ID Concurent   | SCORE |
+------------+----------------+-------+
| C2         | 187            | 83    |
| C2         | 159            | 76    |
| C3         | 203            | 74    |
| C1         | 66             | 73    |
| C2         | 165            | 73    |
| C1         | 47             | 71    |
| C3         | 205            | 71    |
| C4         | 306            | 71    |
| C4         | 356            | 71    |
| C5         | 469            | 71    |
| C5         | 478            | 71    |
| C5         | 445            | 70    |
| C1         | 25             | 69    |
| C4         | 312            | 69    |
| C4         | 335            | 69    |
| C4         | 339            | 69    |
| C3         | 272            | 68    |
| C4         | 392            | 67    |
| C5         | 429            | 67    |
| C5         | 447            | 67    |
| C2         | 151            | 66    |
| C4         | 333            | 66    |
| C5         | 470            | 66    |
| C2         | 134            | 65    |
| C2         | 172            | 65    |
| C5         | 435            | 65    |
| C5         | 463            | 65    |
| C1         | 49             | 64    |
| C1         | 76             | 64    |
| C3         | 261            | 64    |
| C5         | 432            | 64    |
| C1         | 4              | 63    |
| C1         | 11             | 63    |
| C3         | 230            | 63    |
| C3         | 259            | 63    |
| C5         | 408            | 63    |
| C5         | 480            | 63    |
| C3         | 245            | 62    |
| C4         | 304            | 62    |
| C4         | 342            | 62    |
| C4         | 361            | 62    |
| C4         | 379            | 62    |
| C5         | 407            | 62    |
| C5         | 444            | 62    |
| C5         | 473            | 62    |
| C5         | 481            | 62    |
| C1         | 7              | 61    |
| C1         | 26             | 61    |
| C1         | 68             | 61    |
| C3         | 215            | 61    |
| C3         | 257            | 61    |
| C5         | 442            | 61    |
| C5         | 455            | 61    |
| C1         | 59             | 60    |
| C1         | 71             | 60    |
| C2         | 146            | 60    |
| C2         | 200            | 60    |
| C3         | 221            | 60    |
| C3         | 276            | 60    |
| C3         | 284            | 60    |
| C4         | 332            | 60    |
| C4         | 357            | 60    |
| C4         | 382            | 60    |
| C4         | 393            | 60    |
| C5         | 453            | 60    |
| C1         | 69             | 59    |
| C2         | 197            | 59    |
| C3         | 229            | 59    |
| C5         | 417            | 59    |
| C5         | 430            | 59    |
| C5         | 456            | 59    |
| C5         | 475            | 59    |
| C1         | 1              | 58    |
| C1         | 60             | 58    |
| C1         | 65             | 58    |
| C1         | 74             | 58    |
| C2         | 112            | 58    |
| C2         | 135            | 58    |
| C2         | 162            | 58    |
| C2         | 176            | 58    |
| C2         | 181            | 58    |
| C2         | 186            | 58    |
| C2         | 195            | 58    |
| C3         | 212            | 58    |
| C3         | 232            | 58    |
| C3         | 238            | 58    |
| C3         | 262            | 58    |
| C4         | 308            | 58    |
| C4         | 380            | 58    |
| C5         | 451            | 58    |
| C5         | 472            | 58    |
| C1         | 24             | 57    |
| C1         | 45             | 57    |
| C1         | 48             | 57    |
| C2         | 113            | 57    |
| C2         | 125            | 57    |
| C2         | 143            | 57    |
| C3         | 206            | 57    |
| C4         | 359            | 57    |
| C4         | 371            | 57    |
| C5         | 410            | 57    |
| C5         | 411            | 57    |
| C5         | 446            | 57    |
| C5         | 476            | 57    |
| C1         | 13             | 56    |
| C2         | 108            | 56    |
| C2         | 121            | 56    |
| C2         | 123            | 56    |
| C2         | 129            | 56    |
| C2         | 180            | 56    |
| C4         | 338            | 56    |
| C4         | 364            | 56    |
| C4         | 370            | 56    |
| C1         | 3              | 55    |
| C1         | 17             | 55    |
| C1         | 50             | 55    |
| C2         | 139            | 55    |
| C2         | 153            | 55    |
| C2         | 166            | 55    |
| C2         | 170            | 55    |
| C3         | 287            | 55    |
| C3         | 294            | 55    |
| C5         | 465            | 55    |
| C5         | 466            | 55    |
| C5         | 485            | 55    |
| C1         | 57             | 54    |
| C1         | 58             | 54    |
| C1         | 82             | 54    |
| C2         | 102            | 54    |
| C2         | 110            | 54    |
| C2         | 140            | 54    |
| C2         | 142            | 54    |
| C2         | 184            | 54    |
| C2         | 190            | 54    |
| C3         | 267            | 54    |
| C3         | 281            | 54    |
| C3         | 292            | 54    |
| C4         | 381            | 54    |
| C5         | 438            | 54    |
| C5         | 460            | 54    |
| C1         | 8              | 53    |
| C2         | 127            | 53    |
| C2         | 157            | 53    |
| C2         | 177            | 53    |
| C3         | 269            | 53    |
| C4         | 320            | 53    |
| C4         | 328            | 53    |
| C5         | 416            | 53    |
| C5         | 436            | 53    |
| C5         | 450            | 53    |
| C1         | 6              | 52    |
| C1         | 19             | 52    |
| C1         | 56             | 52    |
| C1         | 81             | 52    |
| C2         | 103            | 52    |
| C2         | 168            | 52    |
| C2         | 171            | 52    |
| C2         | 192            | 52    |
| C2         | 193            | 52    |
| C2         | 196            | 52    |
| C3         | 214            | 52    |
| C3         | 228            | 52    |
| C3         | 248            | 52    |
| C3         | 271            | 52    |
| C4         | 314            | 52    |
| C4         | 343            | 52    |
| C4         | 349            | 52    |
| C4         | 354            | 52    |
| C5         | 422            | 52    |
| C5         | 474            | 52    |
| C1         | 28             | 51    |
| C1         | 44             | 51    |
| C1         | 63             | 51    |
| C2         | 156            | 51    |
| C2         | 174            | 51    |
| C3         | 277            | 51    |
| C3         | 278            | 51    |
| C3         | 290            | 51    |
| C4         | 366            | 51    |
| C4         | 387            | 51    |
| C5         | 486            | 51    |
| C1         | 32             | 50    |
| C2         | 138            | 50    |
| C2         | 154            | 50    |
| C2         | 164            | 50    |
| C2         | 178            | 50    |
| C3         | 224            | 50    |
| C3         | 231            | 50    |
| C3         | 253            | 50    |
| C3         | 256            | 50    |
| C3         | 275            | 50    |
